Percentage at School,Percentage at College,Hours Studing per day,Interested in extracurricular activites?,Participated in any competition?,Self-learning capability?,Extra-courses did,Olympiads,Reading and Writing Skills,Job or Higher Studies?,Managerial or Technical,Hard Worker or Smart Worker,Worked in teams ever?,Are you Introvert?,School Major,Favorite Subject at School,College Major,Favorite Subject at College,Skills,Hours working per day,Interested Subjects,Workshops,Certifications,Name of University,Alternate University,Suggested Job Role,Course of Study
90,77,3,0,0,4,1,1,3,Higher Studies,Managerial,Hard Worker,1,0,Computer,computer,Pre-engineering,maths,photography,4,Econometrics Mathematics,Industrial Training on Big Data,Google Professional Data Engineer,University of Engineering and Technology (Taxila),NED University of Engineering & Technology,Data Engineer,"CS, IT, SE"
54,66,1,1,0,4,1,0,3,Job,Technical,Hard Worker,0,1,Computer,maths,Pre-engineering,maths,programming,8,Computer Systems,Computer Architecture Education,AWS Certified Solution Architect,National University of Science & Technology (NUST),University of the Punjab,Computer Engineer,"CS, CE, EE, CP, CIS"
64,60,1,0,0,4,1,1,2,Higher Studies,Managerial,Hard Worker,0,1,Computer,physics,Pre-engineering,physics,gaming,8,Computer Networking,Training on Successful Networking,Cisco CCNA,NED University of Engineering & Technology,University of Engineering and Technology (Taxila),Network Engineer,"CS, IT, E, CRF"
72,54,3,1,0,4,0,0,5,Higher Studies,Managerial,Smart Worker,1,1,Computer,maths,Pre-engineering,english,data analysis,7,Algorithmic Complexity,Coding Workshops,Microsoft Certified Solutions Developer,"University of Management & Technology, Lahore",Lahore University of Management Sciences,Programmer,"CS, IT, CIS, MIS"
80,75,1,0,0,4,0,0,2,Higher Studies,Managerial,Hard Worker,1,1,Biology,urdu,Pre-engineering,english,programming,8,Algorithmic Complexity,Coding Workshops,Microsoft Certified Solutions Developer,"University of Management & Technology, Lahore",Lahore University of Management Sciences,Programmer,"CS, IT, CIS, MIS"
70,70,6,0,0,4,0,0,4,Job,Managerial,Smart Worker,1,0,Computer,maths,Pre-engineering,maths,data analysis,6,Introduction to Algorithms,Effective Problem Solving,CERTIFIED SOFTWARE ENGINEER,FAST National University,National University of Science & Technology (NUST),Software Engineer,SE
74,70,2,0,0,5,1,0,4,Job,Technical,Hard Worker,1,1,Computer,maths,Pre-engineering,english,gaming,5,Econometrics Mathematics,Industrial Training on Big Data,Google Professional Data Engineer,University of Engineering and Technology (Taxila),NED University of Engineering & Technology,Data Engineer,"CS, IT, SE"
71,70,1,1,1,4,0,1,3,Higher Studies,Technical,Smart Worker,0,0,Computer,physics,Computer Science,physics,teamwork,9,Introduction to Algorithms,Effective Problem Solving,CERTIFIED SOFTWARE ENGINEER,FAST National University,National University of Science & Technology (NUST),Software Engineer,SE
91,75,1,0,0,3,0,0,4,Higher Studies,Technical,Hard Worker,1,1,Computer,english,Computer Science,english,decision making,10,Algorithmic Complexity,Coding Workshops,Microsoft Certified Solutions Developer,"University of Management & Technology, Lahore",Lahore University of Management Sciences,Programmer,"CS, IT, CIS, MIS"
91,75,1,0,0,3,1,1,4,Job,Managerial,Hard Worker,1,0,Computer,english,Computer Science,computer,management,10,Automation,Expert Lecture on IOT,Certified IoT Professional Program,Mehran University of Engineering and Technology,Sir Syed University of Engineering and Technology,IOT Engineer,"EE, CS"
